,AAPL,GOOG,MSFT
2024-12-09 14:30:00+00:00,,175.51499938964844,442.25750732421875
2024-12-09 14:31:00+00:00,,176.66000366210938,444.79010009765625
2024-12-09 14:32:00+00:00,,176.72000122070312,444.260009765625
2024-12-09 14:33:00+00:00,,176.00059509277344,443.5050048828125
2024-12-09 14:34:00+00:00,,175.71009826660156,442.79998779296875
2024-12-09 14:35:00+00:00,,175.77000427246094,442.3500061035156
2024-12-09 14:36:00+00:00,,175.90159606933594,442.4700012207031
2024-12-09 14:37:00+00:00,,176.19000244140625,442.00579833984375
2024-12-09 14:38:00+00:00,,176.42999267578125,441.114990234375
2024-12-09 14:39:00+00:00,,176.47999572753906,442.0694885253906
2024-12-09 14:40:00+00:00,,176.5749969482422,441.7200012207031
2024-12-09 14:41:00+00:00,,176.58999633789062,441.19000244140625
2024-12-09 14:42:00+00:00,,176.6300048828125,440.80999755859375
2024-12-09 14:43:00+00:00,,176.75999450683594,441.0199890136719
2024-12-09 14:44:00+00:00,,176.69000244140625,440.8299865722656
2024-12-09 14:45:00+00:00,,176.8332061767578,441.1000061035156
2024-12-09 14:46:00+00:00,,176.82000732421875,441.1600036621094
2024-12-09 14:47:00+00:00,,176.84140014648438,441.885009765625
2024-12-09 14:48:00+00:00,,176.52999877929688,441.3999938964844
2024-12-09 14:49:00+00:00,,176.58999633789062,442.12750244140625
2024-12-09 14:50:00+00:00,,176.44000244140625,442.2900085449219
2024-12-09 14:51:00+00:00,,176.25999450683594,442.1099853515625
2024-12-09 14:52:00+00:00,,176.35000610351562,442.4585876464844
2024-12-09 14:53:00+00:00,,176.30999755859375,442.6000061035156
2024-12-09 14:54:00+00:00,,176.335693359375,442.75
2024-12-09 14:55:00+00:00,,176.41000366210938,442.2699890136719
2024-12-09 14:56:00+00:00,,176.3350067138672,442.3699951171875
2024-12-09 14:57:00+00:00,,176.35000610351562,442.1496887207031
2024-12-09 14:58:00+00:00,,176.25999450683594,441.6650085449219
2024-12-09 14:59:00+00:00,,176.50999450683594,442.3399963378906
2024-12-09 15:00:00+00:00,,176.5,442.1600036621094
2024-12-09 15:01:00+00:00,,176.6199951171875,442.7200012207031
2024-12-09 15:02:00+00:00,,176.27999877929688,442.6799011230469
2024-12-09 15:03:00+00:00,,176.36500549316406,442.3900146484375
2024-12-09 15:04:00+00:00,,176.3699951171875,442.68011474609375
2024-12-09 15:05:00+00:00,,176.3699951171875,443.0400085449219
2024-12-09 15:06:00+00:00,,176.40499877929688,443.19000244140625
2024-12-09 15:07:00+00:00,,176.6199951171875,443.44000244140625
2024-12-09 15:08:00+00:00,,176.72000122070312,443.67498779296875
2024-12-09 15:09:00+00:00,,176.6199951171875,443.2349853515625
2024-12-09 15:10:00+00:00,,176.52999877929688,443.1499938964844
2024-12-09 15:11:00+00:00,,176.47999572753906,443.06500244140625
2024-12-09 15:12:00+00:00,,176.67999267578125,443.6449890136719
2024-12-09 15:13:00+00:00,,176.6649932861328,443.7944030761719
