Datetime,AAPL,GOOG,MSFT
2026-07-21 09:30:00-04:00,323.989990234375,,397.25
2026-07-21 09:31:00-04:00,325.1700134277344,,397.322509765625
2026-07-21 09:32:00-04:00,324.6910095214844,,398.385009765625
2026-07-21 09:33:00-04:00,324.45001220703125,,398.2850036621094
2026-07-21 09:34:00-04:00,325.06719970703125,,399.406005859375
2026-07-21 09:35:00-04:00,324.2349853515625,,399.6199951171875
2026-07-21 09:36:00-04:00,323.7799987792969,,399.95001220703125
2026-07-21 09:37:00-04:00,324.6390075683594,,401.3800048828125
2026-07-21 09:38:00-04:00,324.45001220703125,,399.7300109863281
2026-07-21 09:39:00-04:00,324.7799987792969,,400.05999755859375
2026-07-21 09:40:00-04:00,325.08990478515625,,399.2149963378906
2026-07-21 09:41:00-04:00,324.125,,398.9100036621094
2026-07-21 09:42:00-04:00,324.5899963378906,,400.2799987792969
2026-07-21 09:43:00-04:00,325.1600036621094,,399.95001220703125
2026-07-21 09:44:00-04:00,324.82000732421875,,399.95001220703125
2026-07-21 09:45:00-04:00,323.864990234375,,399.8550109863281
2026-07-21 09:46:00-04:00,322.6000061035156,,399.6814880371094
2026-07-21 09:47:00-04:00,323.1300048828125,,399.0299987792969
2026-07-21 09:48:00-04:00,322.80999755859375,,399.1499938964844
2026-07-21 09:49:00-04:00,323.1050109863281,,399.25
2026-07-21 09:50:00-04:00,322.7991943359375,,399.3949890136719
2026-07-21 09:51:00-04:00,322.92999267578125,,399.80499267578125
2026-07-21 09:52:00-04:00,322.7099914550781,,399.635009765625
2026-07-21 09:53:00-04:00,322.8949890136719,,399.54998779296875
2026-07-21 09:54:00-04:00,322.2986145019531,,399.9849853515625
2026-07-21 09:55:00-04:00,322.5899963378906,,400.3900146484375
2026-07-21 09:56:00-04:00,322.82000732421875,,400.04998779296875
2026-07-21 09:57:00-04:00,323.4200134277344,,399.7250061035156
2026-07-21 09:58:00-04:00,323.8500061035156,,400.0799865722656
2026-07-21 09:59:00-04:00,324.1099853515625,,400.05999755859375
2026-07-21 10:00:00-04:00,324.55999755859375,,399.8599853515625
2026-07-21 10:01:00-04:00,324.5201110839844,,400.30999755859375
2026-07-21 10:02:00-04:00,324.6400146484375,,400.09381103515625
2026-07-21 10:03:00-04:00,324.19000244140625,,399.260009765625
2026-07-21 10:04:00-04:00,324.6449890136719,,399.2449951171875
2026-07-21 10:05:00-04:00,324.6300048828125,,399.2349853515625
2026-07-21 10:06:00-04:00,324.6199951171875,,399.53009033203125
2026-07-21 10:07:00-04:00,325.15008544921875,,399.6199951171875
2026-07-21 10:08:00-04:00,325.6000061035156,,399.94500732421875
2026-07-21 10:09:00-04:00,325.4599914550781,,400.2701110839844
2026-07-21 10:10:00-04:00,325.4849853515625,,400.2475891113281
2026-07-21 10:11:00-04:00,325.8800048828125,,400.06500244140625
2026-07-21 10:12:00-04:00,325.8500061035156,,399.8500061035156
2026-07-21 10:13:00-04:00,325.7200012207031,,400.0350036621094
2026-07-21 10:14:00-04:00,326.06988525390625,,400.010009765625
2026-07-21 10:15:00-04:00,325.92498779296875,,398.7799987792969
2026-07-21 10:16:00-04:00,325.8299865722656,,398.4649963378906
2026-07-21 10:17:00-04:00,325.8349914550781,,399.3102111816406
2026-07-21 10:18:00-04:00,326.2250061035156,,399.7799987792969
2026-07-21 10:19:00-04:00,326.0,,400.07000732421875
2026-07-21 10:20:00-04:00,326.0,,400.0
2026-07-21 10:21:00-04:00,325.9200134277344,,399.5849914550781
2026-07-21 10:22:00-04:00,326.1341857910156,,399.8327941894531
2026-07-21 10:23:00-04:00,326.1499938964844,,400.1549987792969
2026-07-21 10:24:00-04:00,326.0849914550781,,399.95001220703125
2026-07-21 10:25:00-04:00,326.2699890136719,,400.1700134277344
2026-07-21 10:26:00-04:00,326.80999755859375,,400.2950134277344
2026-07-21 10:27:00-04:00,326.81500244140625,,401.07000732421875
2026-07-21 10:28:00-04:00,326.6400146484375,,400.9100036621094
2026-07-21 10:29:00-04:00,326.739990234375,,401.0799865722656
