,AAPL,GOOG,MSFT
2026-05-21 13:30:00+00:00,,380.8999938964844,425.95001220703125
2026-05-21 13:31:00+00:00,,379.8275146484375,422.9848937988281
2026-05-21 13:32:00+00:00,,380.7701110839844,423.1499938964844
2026-05-21 13:33:00+00:00,,381.0098876953125,424.0799865722656
2026-05-21 13:34:00+00:00,,381.3399963378906,423.6600036621094
2026-05-21 13:35:00+00:00,,380.9800109863281,422.3399963378906
2026-05-21 13:36:00+00:00,,381.8949890136719,422.2250061035156
2026-05-21 13:37:00+00:00,,382.5,421.739990234375
2026-05-21 13:38:00+00:00,,381.5400085449219,421.19781494140625
2026-05-21 13:39:00+00:00,,381.3100891113281,420.1499938964844
2026-05-21 13:40:00+00:00,,382.2699890136719,420.0899963378906
2026-05-21 13:41:00+00:00,,382.17999267578125,420.25
2026-05-21 13:42:00+00:00,,382.1600036621094,420.2200012207031
2026-05-21 13:43:00+00:00,,382.635009765625,420.2749938964844
2026-05-21 13:44:00+00:00,,382.7749938964844,420.29681396484375
2026-05-21 13:45:00+00:00,,382.3500061035156,420.760009765625
2026-05-21 13:46:00+00:00,,382.3739013671875,421.30499267578125
2026-05-21 13:47:00+00:00,,381.9200134277344,420.1199951171875
2026-05-21 13:48:00+00:00,,381.8999938964844,419.760009765625
2026-05-21 13:49:00+00:00,,381.95001220703125,418.80999755859375
2026-05-21 13:50:00+00:00,,382.1199951171875,419.3450012207031
2026-05-21 13:51:00+00:00,,381.8700866699219,419.6400146484375
2026-05-21 13:52:00+00:00,,382.0950012207031,419.17999267578125
2026-05-21 13:53:00+00:00,,381.989990234375,419.1600036621094
2026-05-21 13:54:00+00:00,,382.260009765625,419.45001220703125
2026-05-21 13:55:00+00:00,,381.6199951171875,419.1099853515625
2026-05-21 13:56:00+00:00,,381.54998779296875,418.4700012207031
2026-05-21 13:57:00+00:00,,381.6099853515625,418.3900146484375
2026-05-21 13:58:00+00:00,,381.79998779296875,418.44000244140625
2026-05-21 13:59:00+00:00,,382.0299987792969,418.54998779296875
2026-05-21 14:00:00+00:00,,382.1300048828125,418.489990234375
2026-05-21 14:01:00+00:00,,381.55999755859375,418.6099853515625
2026-05-21 14:02:00+00:00,,381.260009765625,418.2627868652344
2026-05-21 14:03:00+00:00,,381.139892578125,418.3315124511719
2026-05-21 14:04:00+00:00,,379.9750061035156,417.8349914550781
2026-05-21 14:05:00+00:00,,379.989990234375,418.0
2026-05-21 14:06:00+00:00,,379.79620361328125,417.67999267578125
2026-05-21 14:07:00+00:00,,380.1099853515625,418.04998779296875
2026-05-21 14:08:00+00:00,,380.375,418.7550048828125
2026-05-21 14:09:00+00:00,,381.0032043457031,419.114990234375
2026-05-21 14:10:00+00:00,,381.260009765625,419.0450134277344
2026-05-21 14:11:00+00:00,,380.8999938964844,418.42999267578125
2026-05-21 14:12:00+00:00,,380.6400146484375,418.5799865722656
2026-05-21 14:13:00+00:00,,380.45001220703125,418.2900085449219
2026-05-21 14:14:00+00:00,,380.5799865722656,417.9299011230469
2026-05-21 14:15:00+00:00,,381.0263977050781,417.26031494140625
2026-05-21 14:16:00+00:00,,381.2300109863281,417.0450134277344
2026-05-21 14:17:00+00:00,,382.04998779296875,417.0299987792969
2026-05-21 14:18:00+00:00,,381.9700012207031,416.3800048828125
2026-05-21 14:19:00+00:00,,382.0199890136719,415.9549865722656
2026-05-21 14:20:00+00:00,,381.7799987792969,416.5899963378906
2026-05-21 14:21:00+00:00,,381.3800048828125,416.6650085449219
2026-05-21 14:22:00+00:00,,381.6650085449219,417.0400085449219
2026-05-21 14:23:00+00:00,,381.7900085449219,417.30999755859375
2026-05-21 14:24:00+00:00,,381.4150085449219,417.2699890136719
